172.23.72.14;2023-10-23 10:29:49.817530;0.000000000;0.000000000
172.23.72.14;2023-10-23 10:30:24.252380;-20.482532470;-43.916486620
172.23.72.14;2023-10-23 10:33:43.804866;Erro;Erro;
172.23.72.14;2023-10-23 10:34:20.668918;Erro;Erro;
172.23.72.14;2023-10-23 10:34:53.436764;Erro;Erro;
172.23.72.14;2023-10-23 10:35:28.252941;Erro;Erro;
172.23.72.14;2023-10-23 10:36:01.020867;Erro;Erro;
172.23.72.14;2023-10-23 10:36:35.836630;Erro;Erro;
172.23.72.14;2023-10-23 10:37:08.605086;Erro;Erro;
172.23.72.14;2023-10-23 10:37:43.421064;Erro;Erro;
172.23.72.14;2023-10-23 10:38:20.284894;Erro;Erro;
172.23.72.14;2023-10-23 10:38:53.052958;Erro;Erro;
172.23.72.14;2023-10-23 10:39:27.868952;Erro;Erro;
172.23.72.14;2023-10-23 10:40:00.636909;Erro;Erro;
172.23.72.14;2023-10-23 10:40:33.404696;Erro;Erro;
172.23.72.14;2023-10-23 10:41:08.220800;Erro;Erro;
172.23.72.14;2023-10-23 10:41:43.036904;Erro;Erro;
172.23.72.14;2023-10-23 10:42:17.852729;Erro;Erro;
172.23.72.14;2023-10-23 10:42:52.668938;Erro;Erro;
172.23.72.14;2023-10-23 10:43:25.436908;Erro;Erro;
172.23.72.14;2023-10-23 10:44:00.252888;Erro;Erro;
172.23.72.14;2023-10-23 10:44:33.020884;Erro;Erro;
172.23.72.14;2023-10-23 10:45:07.840671;Erro;Erro;
172.23.72.14;2023-10-23 10:45:42.652906;Erro;Erro;
172.23.72.14;2023-10-23 10:46:19.516892;Erro;Erro;
172.23.72.14;2023-10-23 10:46:52.284917;Erro;Erro;
172.23.72.14;2023-10-23 10:47:27.108868;Erro;Erro;
172.23.72.14;2023-10-23 10:47:59.880476;Erro;Erro;
172.23.72.14;2023-10-23 10:48:32.636779;Erro;Erro;
172.23.72.14;2023-10-23 10:49:07.453043;Erro;Erro;
172.23.72.14;2023-10-23 10:49:42.268904;Erro;Erro;
172.23.72.14;2023-10-23 10:50:19.132923;Erro;Erro;
172.23.72.14;2023-10-23 10:50:51.900753;Erro;Erro;
172.23.72.14;2023-10-23 10:51:26.716890;Erro;Erro;
172.23.72.14;2023-10-23 10:51:59.484873;Erro;Erro;
172.23.72.14;2023-10-23 10:52:34.300588;Erro;Erro;
172.23.72.14;2023-10-23 10:53:07.069207;Erro;Erro;
172.23.72.14;2023-10-23 10:53:41.884691;Erro;Erro;
172.23.72.14;2023-10-23 10:54:18.748936;Erro;Erro;
172.23.72.14;2023-10-23 10:54:51.516907;Erro;Erro;
172.23.72.14;2023-10-23 10:55:26.332918;Erro;Erro;
172.23.72.14;2023-10-23 10:56:01.148898;Erro;Erro;
172.23.72.14;2023-10-23 10:56:33.919502;Erro;Erro;
172.23.72.14;2023-10-23 10:57:08.740573;Erro;Erro;
172.23.72.14;2023-10-23 10:57:43.548973;Erro;Erro;
172.23.72.14;2023-10-23 10:58:18.364848;Erro;Erro;
172.23.72.14;2023-10-23 10:58:53.180913;Erro;Erro;
172.23.72.14;2023-10-23 10:59:25.948739;Erro;Erro;
172.23.72.14;2023-10-23 11:00:00.764915;Erro;Erro;
172.23.72.14;2023-10-23 11:00:33.532572;Erro;Erro;
172.23.72.14;2023-10-23 11:01:08.356585;Erro;Erro;
172.23.72.14;2023-10-23 11:01:43.178722;Erro;Erro;
172.23.72.14;2023-10-23 11:02:17.980943;Erro;Erro;
172.23.72.14;2023-10-23 11:02:50.748608;Erro;Erro;
172.23.72.14;2023-10-23 11:03:25.564935;Erro;Erro;
172.23.72.14;2023-10-23 11:03:58.332896;Erro;Erro;
172.23.72.14;2023-10-23 11:04:33.148564;Erro;Erro;
172.23.72.14;2023-10-23 11:05:05.916646;Erro;Erro;
172.23.72.14;2023-10-23 11:05:40.732581;Erro;Erro;
172.23.72.14;2023-10-23 11:06:17.596897;Erro;Erro;
172.23.72.14;2023-10-23 11:06:52.412779;Erro;Erro;
172.23.72.14;2023-10-23 11:07:27.228936;Erro;Erro;
172.23.72.14;2023-10-23 11:07:59.996892;Erro;Erro;
172.23.72.14;2023-10-23 11:08:32.764743;Erro;Erro;
172.23.72.14;2023-10-23 11:09:07.581138;Erro;Erro;
