172.23.74.234;2023-10-23 10:29:58.501435;-20.455497807;-43.918350618
172.23.74.234;2023-10-23 10:30:28.428282;-20.455497575;-43.918350746
172.23.74.234;2023-10-23 10:31:38.247080;-20.455498314;-43.918349685
172.23.74.234;2023-10-23 10:32:15.661416;-20.454762196;-43.918276496
172.23.74.234;2023-10-23 10:32:48.783082;-20.454273422;-43.916839633
172.23.74.234;2023-10-23 10:33:22.598680;-20.455504336;-43.916055516
172.23.74.234;2023-10-23 10:33:56.019690;-20.457612242;-43.916869457
172.23.74.234;2023-10-23 10:34:30.213447;-20.458914831;-43.918785946
172.23.74.234;2023-10-23 10:35:04.056392;-20.461058454;-43.918532810
172.23.74.234;2023-10-23 10:35:40.189191;-20.462829787;-43.919355252
172.23.74.234;2023-10-23 10:36:14.299228;-20.464516966;-43.920337836
172.23.74.234;2023-10-23 10:36:48.100856;-20.466398686;-43.921559922
172.23.74.234;2023-10-23 10:37:21.374845;-20.468420729;-43.922605953
172.23.74.234;2023-10-23 10:37:55.269269;-20.470675136;-43.922961420
172.23.74.234;2023-10-23 10:38:29.066651;-20.471681372;-43.924336395
172.23.74.234;2023-10-23 10:39:02.782833;-20.472132742;-43.925688822
172.23.74.234;2023-10-23 10:39:37.637346;-20.472881125;-43.926540612
172.23.74.234;2023-10-23 10:40:13.860645;-20.474424470;-43.926976491
172.23.74.234;2023-10-23 10:40:47.025445;-20.475333034;-43.927867844
172.23.74.234;2023-10-23 10:41:20.977018;-20.476480031;-43.928627096
172.23.74.234;2023-10-23 10:41:54.505390;-20.477831842;-43.929146106
172.23.74.234;2023-10-23 10:42:28.353420;-20.478870529;-43.929810872
172.23.74.234;2023-10-23 10:43:02.041567;-20.478779329;-43.931495386
172.23.74.234;2023-10-23 10:43:36.587548;-20.478100032;-43.933208093
172.23.74.234;2023-10-23 10:44:13.820225;-20.478403739;-43.935833528
172.23.74.234;2023-10-23 10:44:47.184011;-20.478563302;-43.938213685
172.23.74.234;2023-10-23 10:45:20.882443;-20.476867457;-43.939686539
172.23.74.234;2023-10-23 10:45:54.593277;-20.474583121;-43.939500251
172.23.74.234;2023-10-23 10:46:28.731529;-20.472306917;-43.939358121
172.23.74.234;2023-10-23 10:47:02.303114;-20.470232747;-43.939625233
172.23.74.234;2023-10-23 10:47:36.350557;-20.469444568;-43.941094564
172.23.74.234;2023-10-23 10:48:13.504776;-20.469429009;-43.941227752
172.23.74.234;2023-10-23 10:48:47.156426;-20.469444470;-43.941178477
172.23.74.234;2023-10-23 10:49:20.862996;-20.469509851;-43.941029346
172.23.74.234;2023-10-23 10:49:54.680621;-20.471079869;-43.939387352
172.23.74.234;2023-10-23 10:50:28.219637;-20.474645046;-43.939680391
172.23.74.234;2023-10-23 10:51:02.376315;-20.476725484;-43.939517076
172.23.74.234;2023-10-23 10:51:37.160021;-20.474740382;-43.937652345
172.23.74.234;2023-10-23 10:52:13.497289;-20.472775702;-43.935498302
172.23.74.234;2023-10-23 10:52:46.913157;-20.471206722;-43.932839705
172.23.74.234;2023-10-23 10:53:22.238873;-20.469105882;-43.932390839
172.23.74.234;2023-10-23 10:53:55.228511;-20.467770995;-43.931008812
172.23.74.234;2023-10-23 10:54:29.163279;-20.465279887;-43.929830892
172.23.74.234;2023-10-23 10:55:04.290195;-20.462158053;-43.928078225
