172.23.72.184;2022-12-15 10:26:02.488061;Erro;Erro;
172.23.72.184;2022-12-16 09:39:53.779452;-20.478675440;-43.937756704
172.23.72.184;2022-12-16 09:40:23.977345;-20.477556657;-43.939449598
172.23.72.184;2022-12-16 09:40:54.279666;-20.475511557;-43.939564882
172.23.72.184;2022-12-16 09:41:24.484338;-20.473394774;-43.939427437
172.23.72.184;2022-12-16 09:41:54.774118;-20.471425853;-43.939327805
172.23.72.184;2022-12-16 09:42:32.148092;-20.470996497;-43.940604346
172.23.72.184;2022-12-16 09:43:03.434662;-20.471135179;-43.940511364
172.23.72.184;2022-12-16 09:43:34.320021;-20.471129701;-43.940514545
172.23.72.184;2022-12-16 09:43:56.414561;-20.471066734;-43.940536173
172.23.72.184;2022-12-16 09:44:27.417236;-20.470694399;-43.939655914
172.23.72.184;2022-12-16 09:45:06.230906;-20.470752620;-43.939463784
172.23.72.184;2022-12-16 09:50:04.033571;-20.479180257;-43.934283206
172.23.72.184;2022-12-16 09:50:04.051536;-20.479180257;-43.934283206
172.23.72.184;2022-12-16 09:50:04.060988;-20.479180257;-43.934283206
172.23.72.184;2022-12-16 09:50:04.068287;-20.479180257;-43.934283206
172.23.72.184;2022-12-16 09:50:04.071186;-20.479180257;-43.934283206
172.23.72.184;2022-12-16 09:50:35.541617;-20.479180642;-43.934283416
172.23.72.184;2022-12-16 09:51:04.098474;-20.479180810;-43.934283518
172.23.72.184;2022-12-16 09:51:34.608390;-20.479178778;-43.934283883
172.23.72.184;2022-12-16 09:55:03.928362;Erro;Erro;
172.23.72.184;2022-12-16 09:56:54.444295;-20.479176115;-43.934279066
172.23.72.184;2022-12-16 09:56:57.931362;-20.479173686;-43.934279696
172.23.72.184;2022-12-16 09:56:57.459210;Erro;Erro;
172.23.72.184;2022-12-16 09:57:00.014982;Erro;Erro;
172.23.72.184;2022-12-16 09:57:00.989314;Erro;Erro;
172.23.72.184;2022-12-16 09:57:10.118129;-20.479173071;-43.934279951
172.23.72.184;2022-12-16 09:57:40.516268;-20.479172463;-43.934280534
172.23.72.184;2022-12-16 09:58:10.764280;-20.479171931;-43.934280890
172.23.72.184;2022-12-16 09:58:41.111722;-20.479171116;-43.934280731
172.23.72.184;2022-12-16 09:59:11.510124;-20.479170717;-43.934280656
172.23.72.184;2022-12-16 09:59:41.574057;-20.479170317;-43.934280692
172.23.72.184;2022-12-16 10:00:11.818080;-20.479169965;-43.934280667
172.23.72.184;2022-12-16 10:00:42.148575;-20.479169928;-43.934280576
172.23.72.184;2022-12-16 10:01:12.479101;-20.479170301;-43.934280417
172.23.72.184;2022-12-16 10:01:42.711513;-20.479170867;-43.934280262
172.23.72.184;2022-12-16 10:02:12.881195;-20.479171166;-43.934280179
172.23.72.184;2022-12-16 10:02:43.118374;-20.479171178;-43.934280177
172.23.72.184;2022-12-16 10:03:13.447417;-20.479171328;-43.934280115
172.23.72.184;2022-12-16 10:03:43.656577;-20.479171606;-43.934280035
172.23.72.184;2022-12-16 10:04:13.777630;-20.479171803;-43.934279981
172.23.72.184;2022-12-16 10:04:44.048445;-20.479171846;-43.934279949
172.23.72.184;2022-12-16 10:05:14.270120;-20.479171721;-43.934280020
172.23.72.184;2022-12-16 10:05:44.651756;-20.479171697;-43.934280117
172.23.72.184;2022-12-16 10:06:14.847201;-20.479171783;-43.934280273
172.23.72.184;2022-12-16 10:06:45.130541;-20.479171912;-43.934280359
172.23.72.184;2022-12-16 10:07:15.358796;-20.479172082;-43.934280459
172.23.72.184;2022-12-16 10:07:45.649395;-20.479172096;-43.934280403
172.23.72.184;2022-12-16 10:08:15.920974;-20.479172131;-43.934280306
172.23.72.184;2022-12-16 10:08:46.121325;-20.479172032;-43.934280134
172.23.72.184;2022-12-16 10:09:16.365975;-20.479171869;-43.934280038
172.23.72.184;2022-12-16 10:09:46.569084;-20.479171759;-43.934280032
172.23.72.184;2022-12-16 10:10:16.840489;-20.479171675;-43.934280060
172.23.72.184;2022-12-16 10:10:47.060733;-20.479171368;-43.934280345
172.23.72.184;2022-12-16 10:11:17.424075;-20.479171124;-43.934280703
172.23.72.184;2022-12-16 10:11:47.595260;-20.479170985;-43.934281113
172.23.72.184;2022-12-16 10:12:17.802459;-20.479170807;-43.934281574
172.23.72.184;2022-12-16 10:12:48.114402;-20.479170516;-43.934281996
172.23.72.184;2022-12-16 10:13:18.440844;-20.479170301;-43.934282325
172.23.72.184;2022-12-16 10:13:48.655257;-20.479170246;-43.934282517
172.23.72.184;2022-12-16 10:14:18.852678;-20.479170287;-43.934282612
172.23.72.184;2022-12-16 10:14:49.110508;-20.479170297;-43.934282670
172.23.72.184;2022-12-16 10:15:19.440674;-20.479170177;-43.934282762
172.23.72.184;2022-12-16 10:15:49.651201;-20.479170116;-43.934282859
172.23.72.184;2022-12-16 10:16:19.946303;-20.479170100;-43.934282962
172.23.72.184;2022-12-16 10:16:50.186686;-20.479169972;-43.934283105
172.23.72.184;2022-12-16 10:17:20.444348;-20.479169785;-43.934283259
172.23.72.184;2022-12-16 10:17:50.741479;-20.479169695;-43.934283382
172.23.72.184;2022-12-16 10:18:20.792874;-20.479169727;-43.934283477
172.23.72.184;2022-12-16 10:18:51.272434;-20.479169755;-43.934283589
172.23.72.184;2022-12-16 10:19:21.531396;-20.479169565;-43.934283761
172.23.72.184;2022-12-16 10:19:51.722836;-20.479169398;-43.934283961
172.23.72.184;2022-12-16 10:20:21.861247;-20.479169439;-43.934284172
172.23.72.184;2022-12-16 10:20:52.310426;-20.479169512;-43.934284372
172.23.72.184;2022-12-16 10:21:22.474838;-20.479169411;-43.934284608
172.23.72.184;2022-12-16 10:21:52.676237;-20.479169334;-43.934284815
172.23.72.184;2022-12-16 10:22:22.959180;-20.479169326;-43.934284966
172.23.72.184;2022-12-16 10:22:53.092109;-20.479169339;-43.934285084
172.23.72.184;2022-12-16 10:23:23.450398;-20.479169309;-43.934285177
172.23.72.184;2022-12-16 10:23:53.666741;-20.479169164;-43.934285308
172.23.72.184;2022-12-16 10:24:23.924173;-20.479169094;-43.934285432
172.23.72.184;2022-12-16 10:24:54.188551;-20.479169146;-43.934285503
172.23.72.184;2022-12-16 10:25:24.415913;-20.479169206;-43.934285534
172.23.72.184;2022-12-16 10:25:54.707828;-20.479169189;-43.934285542
172.23.72.184;2022-12-16 10:26:25.003433;-20.479169086;-43.934285554
172.23.72.184;2022-12-16 10:26:55.182993;-20.479168981;-43.934285575
172.23.72.184;2022-12-16 10:27:25.416447;-20.479168942;-43.934285638
172.23.72.184;2022-12-16 10:27:55.712993;-20.479168913;-43.934285704
172.23.72.184;2022-12-16 10:28:25.930265;-20.479168810;-43.934285802
172.23.72.184;2022-12-16 10:28:56.166620;-20.479168805;-43.934285916
172.23.72.184;2022-12-16 10:29:26.353667;-20.479168897;-43.934286001
172.23.72.184;2022-12-16 10:29:56.670336;-20.479168941;-43.934286068
172.23.72.184;2022-12-16 10:30:26.852397;-20.479168937;-43.934286133
172.23.72.184;2022-12-16 10:30:57.081689;-20.479168886;-43.934286185
172.23.72.184;2022-12-16 10:31:27.334027;-20.479168759;-43.934286206
172.23.72.184;2022-12-16 10:31:57.533658;-20.479168502;-43.934286243
172.23.72.184;2022-12-16 10:32:27.772249;-20.479168318;-43.934286219
172.23.72.184;2022-12-16 10:32:58.112616;-20.479168260;-43.934286117
172.23.72.184;2022-12-16 10:33:28.318473;-20.479168219;-43.934285995
172.23.72.184;2022-12-16 10:33:58.576743;-20.479168188;-43.934285886
172.23.72.184;2022-12-16 10:34:28.921759;-20.479168249;-43.934285779
172.23.72.184;2022-12-16 10:34:59.060253;-20.479168320;-43.934285695
172.23.72.184;2022-12-16 10:35:29.420965;-20.479168190;-43.934285728
172.23.72.184;2022-12-16 10:35:59.674635;-20.479167895;-43.934285827
172.23.72.184;2022-12-16 10:36:29.897067;-20.479167631;-43.934285904
172.23.72.184;2022-12-16 10:37:00.090462;-20.479167414;-43.934285977
172.23.72.184;2022-12-16 10:37:30.474048;-20.479167211;-43.934286036
172.23.72.184;2022-12-16 10:38:00.679546;-20.479166983;-43.934286092
172.23.72.184;2022-12-16 10:38:30.886930;-20.479166773;-43.934286116
172.23.72.184;2022-12-16 10:39:01.160813;-20.479166622;-43.934286099
172.23.72.184;2022-12-16 10:39:31.459307;-20.479166500;-43.934286155
172.23.72.184;2022-12-16 10:40:01.623381;-20.479166398;-43.934286184
172.23.72.184;2022-12-16 10:40:31.867961;-20.479166343;-43.934286166
172.23.72.184;2022-12-16 10:41:02.133699;-20.479166324;-43.934286114
172.23.72.184;2022-12-16 10:41:32.330031;-20.479166334;-43.934286025
172.23.72.184;2022-12-16 10:42:02.495958;-20.479166363;-43.934285926
172.23.72.184;2022-12-16 10:42:32.742661;-20.479166408;-43.934285838
172.23.72.184;2022-12-16 10:43:03.017772;-20.479166509;-43.934285744
172.23.72.184;2022-12-16 10:43:33.263464;-20.479167151;-43.934285330
172.23.72.184;2022-12-16 10:44:03.541030;-20.479168404;-43.934284543
