172.23.72.174;2022-12-15 10:23:51.416058;Erro;Erro;
172.23.72.174;2022-12-16 09:42:03.644216;Erro;Erro;
172.23.72.174;2022-12-16 09:42:44.767387;Erro;Erro;
172.23.72.174;2022-12-16 09:43:13.181096;Erro;Erro;
172.23.72.174;2022-12-16 09:43:33.755683;Erro;Erro;
172.23.72.174;2022-12-16 09:44:04.481424;Erro;Erro;
172.23.72.174;2022-12-16 09:44:41.386132;Erro;Erro;
172.23.72.174;2022-12-16 09:45:17.957258;Erro;Erro;
172.23.72.174;2022-12-16 09:45:57.685481;Erro;Erro;
172.23.72.174;2022-12-16 09:47:13.888602;Erro;Erro;
172.23.72.174;2022-12-16 09:47:35.416708;Erro;Erro;
172.23.72.174;2022-12-16 09:47:51.800633;Erro;Erro;
172.23.72.174;2022-12-16 09:48:56.593956;Erro;Erro;
172.23.72.174;2022-12-16 09:50:04.052752;-20.460612095;-43.924525353
172.23.72.174;2022-12-16 09:50:04.067330;-20.460612095;-43.924525353
172.23.72.174;2022-12-16 09:50:04.091353;-20.460612095;-43.924525353
172.23.72.174;2022-12-16 09:50:04.107710;-20.460612095;-43.924525353
172.23.72.174;2022-12-16 09:50:35.569076;-20.462063953;-43.925211244
172.23.72.174;2022-12-16 09:51:04.027151;-20.464323786;-43.926006802
172.23.72.174;2022-12-16 09:51:36.726436;-20.466397834;-43.925260601
172.23.72.174;2022-12-16 09:52:39.118463;-20.471890017;-43.923835932
172.23.72.174;2022-12-16 09:54:54.235436;-20.472166403;-43.920871599
172.23.72.174;2022-12-16 09:55:12.302255;-20.471293210;-43.920993378
172.23.72.174;2022-12-16 09:55:21.093199;-20.468849096;-43.920626428
172.23.72.174;2022-12-16 09:55:23.414674;-20.470719026;-43.920942207
172.23.72.174;2022-12-16 09:56:56.725497;-20.471269921;-43.918837473
172.23.72.174;2022-12-16 09:57:10.240588;-20.471499732;-43.918921824
172.23.72.174;2022-12-16 09:57:40.695851;-20.471475095;-43.918834093
172.23.72.174;2022-12-16 09:58:10.747907;-20.471474619;-43.918835068
172.23.72.174;2022-12-16 09:58:41.114568;-20.471475771;-43.918835197
172.23.72.174;2022-12-16 09:59:11.389109;-20.471476169;-43.918834841
172.23.72.174;2022-12-16 09:59:41.645700;-20.471475121;-43.918834607
172.23.72.174;2022-12-16 10:00:11.974768;-20.471474814;-43.918834169
172.23.72.174;2022-12-16 10:00:42.336234;-20.471175790;-43.919144589
172.23.72.174;2022-12-16 10:01:12.440437;-20.469859096;-43.919465646
