172.23.72.154;2022-12-15 10:21:40.618259;-20.471857774;-43.924756447
172.23.72.154;2022-12-16 09:42:03.640916;Erro;Erro;
172.23.72.154;2022-12-16 09:42:42.502378;Erro;Erro;
172.23.72.154;2022-12-16 09:43:12.424754;Erro;Erro;
172.23.72.154;2022-12-16 09:43:33.752388;Erro;Erro;
172.23.72.154;2022-12-16 09:44:04.472337;Erro;Erro;
172.23.72.154;2022-12-16 09:44:41.385034;Erro;Erro;
172.23.72.154;2022-12-16 09:45:15.572998;Erro;Erro;
172.23.72.154;2022-12-16 09:46:05.610477;Erro;Erro;
172.23.72.154;2022-12-16 09:47:18.002487;Erro;Erro;
172.23.72.154;2022-12-16 09:47:39.512498;Erro;Erro;
172.23.72.154;2022-12-16 09:48:33.466782;Erro;Erro;
172.23.72.154;2022-12-16 09:52:14.055156;Erro;Erro;
172.23.72.154;2022-12-16 09:52:24.595582;Erro;Erro;
172.23.72.154;2022-12-16 09:52:25.492397;Erro;Erro;
172.23.72.154;2022-12-16 09:52:24.945866;Erro;Erro;
172.23.72.154;2022-12-16 09:52:26.124168;Erro;Erro;
172.23.72.154;2022-12-16 09:53:16.285161;Erro;Erro;
172.23.72.154;2022-12-16 09:54:12.860969;Erro;Erro;
172.23.72.154;2022-12-16 09:53:27.033016;Erro;Erro;
172.23.72.154;2022-12-16 09:54:43.448390;Erro;Erro;
172.23.72.154;2022-12-16 09:56:59.123341;Erro;Erro;
172.23.72.154;2022-12-16 09:56:58.329984;Erro;Erro;
172.23.72.154;2022-12-16 09:56:57.807185;Erro;Erro;
172.23.72.154;2022-12-16 09:57:23.192517;Erro;Erro;
172.23.72.154;2022-12-16 09:59:13.792073;Erro;Erro;
172.23.72.154;2022-12-16 09:59:19.932215;Erro;Erro;
172.23.72.154;2022-12-16 09:59:50.664155;Erro;Erro;
172.23.72.154;2022-12-16 10:00:21.368097;Erro;Erro;
172.23.72.154;2022-12-16 10:00:52.104086;Erro;Erro;
172.23.72.154;2022-12-16 10:01:20.768102;Erro;Erro;
172.23.72.154;2022-12-16 10:01:51.488119;Erro;Erro;
172.23.72.154;2022-12-16 10:02:22.216107;Erro;Erro;
172.23.72.154;2022-12-16 10:02:52.932091;Erro;Erro;
172.23.72.154;2022-12-16 10:03:21.611990;Erro;Erro;
172.23.72.154;2022-12-16 10:03:52.312204;Erro;Erro;
172.23.72.154;2022-12-16 10:04:23.044098;Erro;Erro;
172.23.72.154;2022-12-16 10:04:53.752171;Erro;Erro;
172.23.72.154;2022-12-16 10:05:24.484068;Erro;Erro;
172.23.72.154;2022-12-16 10:05:53.144103;Erro;Erro;
172.23.72.154;2022-12-16 10:06:23.880107;Erro;Erro;
172.23.72.154;2022-12-16 10:06:54.592088;Erro;Erro;
172.23.72.154;2022-12-16 10:07:25.304140;Erro;Erro;
172.23.72.154;2022-12-16 10:07:53.988109;Erro;Erro;
172.23.72.154;2022-12-16 10:08:24.704192;Erro;Erro;
172.23.72.154;2022-12-16 10:08:55.416116;Erro;Erro;
172.23.72.154;2022-12-16 10:09:26.136150;Erro;Erro;
172.23.72.154;2022-12-16 10:09:54.808232;Erro;Erro;
172.23.72.154;2022-12-16 10:10:25.544053;Erro;Erro;
172.23.72.154;2022-12-16 10:10:56.248285;Erro;Erro;
172.23.72.154;2022-12-16 10:11:26.972318;Erro;Erro;
172.23.72.154;2022-12-16 10:11:57.688135;Erro;Erro;
172.23.72.154;2022-12-16 10:12:26.360109;Erro;Erro;
172.23.72.154;2022-12-16 10:12:57.080174;Erro;Erro;
172.23.72.154;2022-12-16 10:13:27.800107;Erro;Erro;
172.23.72.154;2022-12-16 10:13:58.520156;Erro;Erro;
172.23.72.154;2022-12-16 10:14:27.192160;Erro;Erro;
172.23.72.154;2022-12-16 10:14:57.920125;Erro;Erro;
172.23.72.154;2022-12-16 10:15:28.644123;Erro;Erro;
172.23.72.154;2022-12-16 10:15:59.352161;Erro;Erro;
172.23.72.154;2022-12-16 10:16:28.024098;Erro;Erro;
172.23.72.154;2022-12-16 10:16:58.744183;Erro;Erro;
172.23.72.154;2022-12-16 10:17:29.476112;Erro;Erro;
172.23.72.154;2022-12-16 10:18:00.184116;Erro;Erro;
172.23.72.154;2022-12-16 10:18:30.904184;Erro;Erro;
172.23.72.154;2022-12-16 10:18:59.576107;Erro;Erro;
172.23.72.154;2022-12-16 10:19:30.296215;Erro;Erro;
172.23.72.154;2022-12-16 10:20:01.016110;Erro;Erro;
172.23.72.154;2022-12-16 10:20:31.736139;Erro;Erro;
172.23.72.154;2022-12-16 10:21:00.420107;Erro;Erro;
172.23.72.154;2022-12-16 10:21:31.136142;Erro;Erro;
172.23.72.154;2022-12-16 10:22:01.852142;Erro;Erro;
172.23.72.154;2022-12-16 10:22:32.568231;Erro;Erro;
172.23.72.154;2022-12-16 10:23:03.296130;Erro;Erro;
172.23.72.154;2022-12-16 10:23:31.960105;Erro;Erro;
172.23.72.154;2022-12-16 10:24:02.684095;Erro;Erro;
172.23.72.154;2022-12-16 10:24:33.400096;Erro;Erro;
172.23.72.154;2022-12-16 10:25:04.120104;Erro;Erro;
172.23.72.154;2022-12-16 10:25:32.792198;Erro;Erro;
172.23.72.154;2022-12-16 10:26:03.520134;Erro;Erro;
172.23.72.154;2022-12-16 10:26:34.236184;Erro;Erro;
172.23.72.154;2022-12-16 10:27:04.952122;Erro;Erro;
172.23.72.154;2022-12-16 10:27:33.624143;Erro;Erro;
172.23.72.154;2022-12-16 10:28:04.352148;Erro;Erro;
172.23.72.154;2022-12-16 10:28:35.064164;Erro;Erro;
172.23.72.154;2022-12-16 10:29:05.784102;Erro;Erro;
172.23.72.154;2022-12-16 10:29:36.504242;Erro;Erro;
172.23.72.154;2022-12-16 10:30:05.176161;Erro;Erro;
172.23.72.154;2022-12-16 10:30:35.896115;Erro;Erro;
172.23.72.154;2022-12-16 10:31:06.624240;Erro;Erro;
172.23.72.154;2022-12-16 10:31:37.344207;Erro;Erro;
